algorithm,model_variant,population,feature_set,transformed_feature,coefficient,absolute_coefficient_rank,selection_reason
LogisticRegression,balanced,Global,M2,categorical__province_id_13425,1.3878954091561757,232,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13576,0.7448359581262878,1252,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13700,0.9370824859064628,742,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13867,0.8600173093014926,912,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13952,1.3186945819263023,278,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14,-0.45573652435940115,2538,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14091,0.9928510757321881,624,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14488,0.06848757653290598,4953,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14489,-1.4939739240241605,182,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14490,-0.45659704292433145,2531,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14690,-0.2501953008433535,3768,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14691,-1.458187062813335,198,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14765,-1.556486877394543,159,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_14999,0.1285034344376887,4554,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_15098,-0.3120493530268813,3361,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_15168,-0.7072801618276121,1373,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_15444,-0.4861064097062306,2361,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_15690,-0.1810992810370728,4204,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_15740,-0.2076036969210879,4028,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16128,-0.9441929388838888,728,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16373,-1.1022737281421686,481,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16689,-0.3842257530915633,2916,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16776,0.12370726122416524,4591,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16777,-0.21620708244640832,3977,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16814,-0.35384513608200263,3106,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16853,1.0444114764448387,554,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16864,-0.6103663139937822,1750,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16886,0.8103566912498729,1047,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16908,0.19246034984399346,4124,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16938,-0.6068061623399119,1776,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_16986,0.2622995535089528,3689,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17001,-0.40836072894622494,2775,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17007,0.24876566047959905,3781,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17031,0.6557338654618322,1565,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17040,-0.45637644551450707,2533,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17085,-0.414112115397041,2749,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17105,0.040314411465153445,5166,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17137,-0.8113273990300643,1046,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17152,-0.32477971952390494,3290,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17167,0.8902300061098333,839,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17191,0.2592676139198921,3706,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17213,0.3268464921161102,3272,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17299,0.6737273898352492,1504,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17309,0.06676059489866343,4967,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17324,0.1317188258072922,4525,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17362,-0.5604393338581869,2006,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17366,0.32437984587950464,3294,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17386,-0.14856425407195364,4411,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17392,0.211876149713149,4003,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17407,-0.2008669218701471,4070,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17412,0.05735109739197623,5044,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17446,-0.18186396156725798,4197,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17490,0.5910618982129914,1851,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17527,-1.1590281991001954,415,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17543,-0.939169915730017,736,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17561,-0.40475789958091646,2804,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17579,-0.2633396489473269,3679,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17615,-0.13171802843033983,4526,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17632,0.20009675021258785,4078,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17708,0.30641415626047713,3402,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17788,-0.5049654636826924,2266,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17789,-0.29562463131713745,3469,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17849,0.23907982191139832,3840,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_17989,-0.15866167098033002,4338,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18,-0.38304442832492763,2921,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18011,-0.5575134556315706,2017,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18233,-0.4372805231781602,2626,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18278,-0.5763729819002198,1919,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18286,-0.15837169008461413,4340,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18293,0.043809219166154934,5142,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18304,0.17887994777954422,4215,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18323,-0.5415598894263965,2088,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18338,0.058889174286993785,5025,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18347,-0.293237347284868,3488,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18358,-0.2619174494614068,3693,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18365,-0.1779607777422746,4220,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18387,-0.08102083364915377,4866,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18395,0.1144090083581603,4639,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18405,-0.43123418661483404,2655,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18434,-0.3103463635283772,3372,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18494,0.9795593522165315,648,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18505,0.012143893035658385,5381,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18531,0.4810562735644734,2390,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18549,-0.37384479698162665,2970,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_18554,0.23161155359352814,3887,interpretable_term
